id,left,top,right,bottom,District,DEM_mean,Slope_mean,LandCover_mean,ppp_sum,NDVI_JFM,NDVI_AMJ,NDVI_JAS,NDVI_OND,NDWI_JFM,NDWI_AMJ,NDWI_JAS,NDWI_OND,Soil_Phosp,Soil_Coppe,Soil_Iron,Soil_Magne,Rainfall,Soil_Boron,Soil_Alumi,Soil_Potas,LST_JFM,LST_AMJ,LST_JAS,LST_OND
124,118564.9928,-147228.2008,123564.9928,-152228.2008,KISORO,2373.7719,89.9952,3,1198.7,0.43,0.82,0.04,0.32,0.69,0.11,0.95,0.08,1796.96,182.24,261.50,272.30,39,111.91,1602.74,414.22,2079,399,18,1924
125,118564.9928,-152228.2008,123564.9928,-157228.2008,KISORO,2800.8796,89.9976,2,945.1,0.72,0.97,0.38,0.00,0.07,0.22,0.73,0.91,1604.69,197.48,227.34,319.86,41.4788224995441,144.23,1779.15,420.63,928,1889,624,678
234,123564.9928,-62228.2007999998,128564.9928,-67228.2007999998,KANUNGU,947.8069,89.5706,2,550.1,0.78,0.60,0.02,0.25,0.97,0.19,0.01,0.76,2235.18,288.92,188.43,511.15,36.6340692583321,104.90,704.71,331.52,1464,954,546,1399
235,123564.9928,-67228.2007999998,128564.9928,-72228.2007999998,KANUNGU,960.7054,89.6774,2,2227.7,0.70,0.39,0.31,0.25,0.44,0.28,0.27,0.14,2553.69,282.72,186.52,513.62,34.9178140186084,97.11,690.64,328.58,1132,2291,2312,2845
236,123564.9928,-72228.2007999998,128564.9928,-77228.2007999998,KANUNGU,998.9878,89.7889,3,229.6,0.43,0.79,0.52,0.84,0.83,0.19,0.62,0.45,2853.45,263.72,197.72,520.36,34.9108137676229,102.44,746.60,367.34,1344,1712,2862,2302
237,123564.9928,-77228.2007999998,128564.9928,-82228.2007999998,KANUNGU,1017.9217,89.6992,3,69.2,0.47,0.04,0.52,0.14,0.74,0.65,0.23,0.14,2247.97,230.80,179.46,445.13,35.7135450239283,86.27,749.93,262.05,1442,1119,1056,2444
238,123564.9928,-82228.2007999998,128564.9928,-87228.2007999998,KANUNGU,1061.5724,89.9550,3,802.0,0.15,0.06,0.91,0.86,0.33,0.32,0.42,0.31,1842.44,218.39,188.65,441.25,37,94.02,829.42,240.81,1000,2657,2052,638
239,123564.9928,-87228.2007999998,128564.9928,-92228.2007999998,KANUNGU,1095.6965,89.9907,3,2496.8,0.63,0.83,0.47,0.37,0.63,0.57,0.99,0.06,1730.88,241.45,230.34,437.79,37,105.50,882.69,243.28,2652,2671,1065,2706
240,123564.9928,-92228.2007999998,128564.9928,-97228.2007999998,KANUNGU,1120.4040,89.9588,4,746.4,0.87,0.44,0.63,0.79,0.53,0.45,0.23,0.88,2084.54,264.21,226.39,394.43,36.5374583499065,106.92,898.01,243.77,2081,252,2858,2109
241,123564.9928,-97228.2007999998,128564.9928,-102228.2008,KANUNGU,1206.6992,89.9925,4,2387.3,0.35,0.19,0.91,0.51,0.49,0.75,0.91,0.71,2532.68,265.23,207.92,363.37,36,105.25,891.98,234.42,2152,2449,2763,955
242,123564.9928,-102228.2008,128564.9928,-107228.2008,KANUNGU,1393.4249,89.9328,4,1973.6,0.82,0.37,0.24,0.18,0.60,0.13,0.29,0.79,2040.65,218.35,239.34,302.94,36,103.35,1013.13,236.86,177,1287,1297,1297
243,123564.9928,-107228.2008,128564.9928,-112228.2008,KANUNGU,1750.3503,89.9968,1,323.9,0.26,0.74,0.54,0.89,0.24,0.53,0.08,0.63,2095.91,182.17,277.28,263.91,37.5174880709298,78.55,1314.89,227.21,2205,494,514,1282
244,123564.9928,-112228.2008,128564.9928,-117228.2008,KISORO,1853.4404,89.9978,1,2526.4,0.93,0.59,0.40,0.12,0.28,0.61,0.37,0.56,2567.24,172.97,301.72,281.15,38.7175541322133,69.31,1475.08,298.73,2958,13,2506,2948
245,123564.9928,-117228.2008,128564.9928,-122228.2008,KISORO,1949.8985,89.9981,3,1514.5,0.64,0.98,0.50,0.83,0.67,0.37,0.97,0.62,2177.42,195.77,334.90,285.44,38.6873590862999,101.81,1487.13,386.08,2440,1435,641,735
246,123564.9928,-122228.2008,128564.9928,-127228.2008,KISORO,1895.9246,89.9957,4,2040.0,0.31,0.08,0.13,0.93,0.35,0.37,0.29,0.33,1729.56,196.16,283.23,242.42,35.2252538018196,100.51,1351.64,238.22,2998,1106,733,1874
250,123564.9928,-142228.2008,128564.9928,-147228.2008,KISORO,1988.3985,89.9586,4,859.0,0.51,0.26,0.83,0.40,0.85,0.88,0.53,0.96,1703.09,194.66,160.10,294.52,34.9689613705502,87.89,1337.10,376.71,2556,1560,1671,2430
251,123564.9928,-147228.2008,128564.9928,-152228.2008,KISORO,2396.1893,89.9954,3,1868.4,0.32,0.76,1.00,0.37,0.37,0.79,0.35,0.82,1708.36,160.02,196.51,276.63,34.9689613705502,99.35,1622.13,335.89,2141,44,2162,15
252,123564.9928,-152228.2008,128564.9928,-157228.2008,KISORO,2765.4657,89.9968,2,1435.9,0.54,0.36,0.26,0.09,0.24,0.03,0.34,0.18,1593.43,188.08,211.83,327.21,39.6682792592525,123.18,1750.44,405.84,2009,1115,1281,2012
359,128564.9928,-52228.2007999998,133564.9928,-57228.2007999998,KANUNGU,921.4393,88.6203,2,1081.7,0.56,0.56,0.54,0.12,0.85,0.70,0.54,0.07,1801.15,293.31,198.05,544.06,37,111.82,707.26,258.26,754,413,2491,295
360,128564.9928,-57228.2007999998,133564.9928,-62228.2007999998,KANUNGU,930.2946,88.5953,2,628.3,0.54,0.71,0.54,0.64,0.69,0.79,0.38,0.42,2174.61,288.22,199.06,592.85,37,121.94,708.85,326.82,1897,489,1809,1406
361,128564.9928,-62228.2007999998,133564.9928,-67228.2007999998,KANUNGU,949.5442,89.5493,3,1570.7,0.27,0.51,0.50,0.88,0.22,0.69,0.92,0.06,2372.88,252.24,191.11,528.26,36.1559876061367,113.17,733.36,351.52,2361,2056,2377,20
362,128564.9928,-67228.2007999998,133564.9928,-72228.2007999998,KANUNGU,987.4959,89.9082,3,2738.8,0.65,0.90,0.97,0.29,0.16,0.05,0.58,0.52,2665.36,268.77,186.31,504.05,34,86.95,735.11,338.61,1324,639,1554,1531
363,128564.9928,-72228.2007999998,133564.9928,-77228.2007999998,KANUNGU,1023.3616,89.9485,3,2724.9,0.65,0.57,0.19,0.62,0.96,0.72,0.29,0.69,2294.05,249.36,192.14,429.67,34,80.02,757.94,243.21,1527,897,301,1338
364,128564.9928,-77228.2007999998,133564.9928,-82228.2007999998,KANUNGU,1070.7272,89.9506,3,1520.5,0.70,0.76,0.26,0.27,0.90,0.24,0.68,0.31,1870.95,235.68,198.14,354.33,35.1410592104645,86.04,839.85,206.88,2975,788,1102,840
365,128564.9928,-82228.2007999998,133564.9928,-87228.2007999998,KANUNGU,1148.6230,89.9864,3,502.6,0.02,0.58,0.15,0.02,0.38,0.37,0.30,0.61,1693.36,257.62,188.38,342.50,37,90.15,896.72,210.42,610,264,462,1076
366,128564.9928,-87228.2007999998,133564.9928,-92228.2007999998,KANUNGU,1182.1716,89.9901,2,2171.7,0.81,0.34,0.62,0.49,0.76,0.01,0.86,0.13,1603.58,267.16,193.37,328.46,37,93.57,925.43,219.65,1930,1708,2141,2841
367,128564.9928,-92228.2007999998,133564.9928,-97228.2007999998,KANUNGU,1318.8393,89.9643,2,297.2,0.41,0.91,0.35,0.38,0.97,0.32,0.99,0.24,1860.64,253.52,203.09,347.68,36.5374583499065,98.35,969.12,211.73,2513,1529,2400,2796
368,128564.9928,-97228.2007999998,133564.9928,-102228.2008,KANUNGU,1378.1279,89.9959,3,1951.6,0.21,0.05,0.04,0.53,0.48,0.16,0.56,0.16,2114.00,237.82,235.04,308.32,36,104.72,1001.07,226.28,1480,263,1869,1417
369,128564.9928,-102228.2008,133564.9928,-107228.2008,KANUNGU,1526.9263,89.9653,3,806.9,0.76,0.00,0.91,0.82,0.07,0.66,0.91,0.57,1846.58,206.75,254.78,273.67,36,96.31,1120.38,241.61,740,839,2339,2296
370,128564.9928,-107228.2008,133564.9928,-112228.2008,KANUNGU,1710.3355,89.9967,2,1391.0,0.13,0.28,0.06,0.70,0.86,0.99,0.55,0.06,1919.81,185.92,269.60,253.84,38.2327810710946,90.77,1305.37,236.47,1814,380,1687,521
371,128564.9928,-112228.2008,133564.9928,-117228.2008,KISORO,2047.0778,89.9966,1,1841.4,0.02,0.70,0.36,0.77,0.41,0.26,0.98,0.23,1853.35,159.05,315.67,239.44,40,81.89,1546.61,235.06,2106,235,2348,1998
372,128564.9928,-117228.2008,133564.9928,-122228.2008,KISORO,2230.5868,89.9968,1,2752.1,0.25,0.76,0.35,0.66,0.81,0.04,0.93,0.97,1754.92,192.06,329.82,236.48,40,94.49,1598.61,256.58,2712,1810,348,1427
373,128564.9928,-122228.2008,133564.9928,-127228.2008,KISORO,1997.3001,89.9971,3,724.7,0.63,0.84,0.53,0.71,0.86,0.99,0.35,0.24,1717.82,213.76,316.96,238.29,34.8468289152275,97.53,1409.40,241.41,1609,1597,1288,778
377,128564.9928,-142228.2008,133564.9928,-147228.2008,KISORO,1998.3951,89.9875,4,2483.8,0.62,1.00,0.39,0.09,0.37,0.39,0.89,0.71,1676.30,228.51,147.69,373.77,33,94.90,1300.66,443.08,1659,2669,259,225
378,128564.9928,-147228.2008,133564.9928,-152228.2008,KISORO,2456.5466,89.9960,3,1059.8,0.02,0.08,0.56,0.63,0.02,0.02,0.42,0.89,1652.75,176.80,175.26,309.03,33,94.82,1495.41,344.99,2635,1674,899,284
379,128564.9928,-152228.2008,133564.9928,-157228.2008,KISORO,2945.6728,89.9984,2,2601.0,0.61,0.83,0.33,0.99,0.15,0.62,0.78,0.14,1486.50,166.15,224.28,291.10,38.783919165603,154.72,1694.61,372.18,14,242,2371,900
472,133564.9928,17771.7992000002,138564.9928,12771.7992000002,KASESE,1582.0192,89.9975,3,940.5,0.99,0.69,0.49,0.76,0.63,0.77,0.03,0.47,2306.74,225.93,269.24,357.95,45,109.34,1133.13,253.89,2833,2768,543,2958
473,133564.9928,12771.7992000002,138564.9928,7771.79920000024,KASESE,1336.7836,89.9958,3,1431.8,0.71,0.24,0.69,0.42,0.68,0.97,0.87,0.21,2036.67,228.98,273.42,441.21,45,106.22,917.17,198.36,721,2037,1758,637
474,133564.9928,7771.79920000024,138564.9928,2771.79920000024,KASESE,1129.8951,89.9548,4,584.0,0.98,0.90,0.97,0.90,0.37,0.83,0.16,0.04,1563.34,229.47,255.95,484.85,42.4788416972906,108.70,800.70,238.64,1710,1338,632,1662
475,133564.9928,2771.79920000024,138564.9928,-2228.20079999976,KASESE,1065.5586,89.9558,3,561.3,0.94,0.55,0.92,0.31,0.10,0.23,0.87,0.42,2068.91,243.83,272.54,489.06,42,95.11,724.74,249.51,401,1049,2691,1973
476,133564.9928,-2228.20079999976,138564.9928,-7228.20079999976,KASESE,964.3985,89.7513,2,510.4,0.37,0.43,0.34,0.03,0.07,0.68,0.66,0.79,2114.81,244.00,265.73,476.23,42,104.58,768.12,267.37,1178,1240,913,915
486,133564.9928,-52228.2007999998,138564.9928,-57228.2007999998,KANUNGU,925.1860,88.7450,2,32.1,0.04,0.23,0.53,0.78,0.48,0.96,0.39,0.43,2195.63,259.75,222.38,570.89,37,105.74,720.20,254.46,1182,2971,983,2683
487,133564.9928,-57228.2007999998,138564.9928,-62228.2007999998,KANUNGU,938.9252,89.3712,2,2368.7,0.83,0.82,0.33,0.19,0.49,0.75,0.78,0.14,2585.44,262.17,198.08,584.92,37,99.50,737.48,282.77,96,2899,2091,1601
488,133564.9928,-62228.2007999998,138564.9928,-67228.2007999998,KANUNGU,964.0877,89.6481,3,2198.8,0.25,0.69,0.33,0.82,0.93,0.72,0.12,0.83,2198.31,266.88,193.75,529.04,36.1559876061367,92.46,742.95,275.88,2912,894,2929,1517
489,133564.9928,-67228.2007999998,138564.9928,-72228.2007999998,KANUNGU,982.5465,89.7108,4,1698.8,0.42,0.21,0.68,0.72,0.92,0.82,0.71,0.37,2125.79,271.50,209.93,449.60,34,85.45,749.69,254.68,2585,1397,2289,2437
490,133564.9928,-72228.2007999998,138564.9928,-77228.2007999998,KANUNGU,1060.3739,89.9538,4,1106.8,0.57,0.71,0.55,0.76,0.47,0.62,0.94,0.60,2039.95,258.69,213.97,395.42,34,64.08,803.47,209.40,2153,2048,1605,2596
491,133564.9928,-77228.2007999998,138564.9928,-82228.2007999998,KANUNGU,1120.4390,89.9594,3,493.1,0.78,0.93,0.48,0.50,0.20,0.48,0.84,0.39,1766.41,302.99,218.00,343.36,35.1569904195996,93.95,868.92,203.11,2855,2445,2253,1496
492,133564.9928,-82228.2007999998,138564.9928,-87228.2007999998,KANUNGU,1219.0816,89.9912,3,217.5,0.25,0.55,0.29,0.18,0.80,0.29,0.54,0.57,1932.96,274.12,195.30,323.04,37,93.97,944.99,207.85,417,816,1502,1053
493,133564.9928,-87228.2007999998,138564.9928,-92228.2007999998,KANUNGU,1280.8124,89.9917,4,2097.0,0.42,0.98,0.08,0.50,0.47,0.64,0.44,0.71,2023.75,253.34,208.20,332.50,37,94.27,944.59,225.18,1847,1471,749,1306
494,133564.9928,-92228.2007999998,138564.9928,-97228.2007999998,KANUNGU,1428.6523,89.9945,4,1169.7,0.00,0.31,0.04,0.88,0.12,0.55,0.67,0.96,1643.24,232.63,210.81,295.80,36.5374583499065,88.65,1041.44,207.58,565,2480,1832,1378
495,133564.9928,-97228.2007999998,138564.9928,-102228.2008,KANUNGU,1494.2459,89.9944,3,1005.7,0.34,0.04,0.95,0.44,0.02,0.30,0.45,0.39,1814.53,207.92,236.25,288.47,36,99.89,1079.49,223.55,711,397,1336,1120
496,133564.9928,-102228.2008,138564.9928,-107228.2008,KANUNGU,1596.3279,89.9971,2,1496.7,0.66,0.98,0.51,0.78,0.75,0.13,0.27,0.62,2312.72,191.40,250.66,267.87,36,82.22,1167.80,224.25,271,1344,767,161
497,133564.9928,-107228.2008,138564.9928,-112228.2008,KANUNGU,1807.5686,89.9971,3,2373.7,0.10,0.69,0.77,0.27,0.84,0.95,0.26,0.85,1623.15,174.50,285.56,255.62,38.2575895786707,96.45,1343.36,229.73,2498,720,1420,1107
498,133564.9928,-112228.2008,138564.9928,-117228.2008,KISORO,2094.3357,89.9963,1,944.0,0.67,0.95,0.76,0.73,0.30,0.85,0.53,0.75,1760.89,161.60,317.29,243.70,40,92.97,1518.67,209.06,2464,2206,878,2662
499,133564.9928,-117228.2008,138564.9928,-122228.2008,KISORO,2172.9513,89.9968,1,1060.5,0.37,0.48,0.06,0.35,0.68,0.77,0.50,0.45,1769.61,183.21,324.43,232.73,40,97.95,1546.04,227.29,954,715,1807,2397
500,133564.9928,-122228.2008,138564.9928,-127228.2008,KISORO,2056.7016,89.9978,2,110.3,0.96,0.03,0.11,0.62,0.99,0.36,0.57,0.68,1585.28,172.71,349.73,224.87,34.8468289152275,97.26,1421.87,225.90,941,1838,287,1048
501,133564.9928,-127228.2008,138564.9928,-132228.2008,KISORO,2063.9815,89.9975,4,1029.1,0.23,0.31,0.53,0.09,0.94,0.99,0.49,0.50,1670.37,162.83,341.41,235.29,32,90.99,1340.63,218.96,1221,2457,2553,350
503,133564.9928,-137228.2008,138564.9928,-142228.2008,KISORO,1886.4322,89.9198,4,902.9,0.30,0.78,0.19,0.85,0.98,0.40,0.84,0.98,1608.15,200.44,243.78,281.10,32.7380478474923,77.72,1225.44,234.30,1812,692,1794,2028
504,133564.9928,-142228.2008,138564.9928,-147228.2008,KISORO,1964.8179,89.9207,4,767.2,0.11,0.49,0.18,0.07,0.73,0.56,0.66,0.89,1655.56,229.50,184.71,374.07,33,86.52,1221.69,357.20,2436,575,1022,2124
505,133564.9928,-147228.2008,138564.9928,-152228.2008,KISORO,2076.2291,89.9880,4,1284.5,0.06,0.32,0.97,0.84,0.46,0.02,0.39,0.23,1878.91,213.00,173.66,370.03,33,94.48,1263.70,318.44,1552,1488,2179,1364
598,138564.9928,22771.7992000002,143564.9928,17771.7992000002,KASESE,2132.3843,89.9980,1,552.7,0.70,0.42,0.42,0.97,0.56,0.90,0.99,0.74,2031.52,187.90,269.62,353.65,46.7974258143339,107.05,1576.73,354.81,1937,2409,1582,1748
599,138564.9928,17771.7992000002,143564.9928,12771.7992000002,KASESE,1930.9198,89.9981,2,913.9,0.65,0.03,0.62,0.37,0.62,0.52,0.30,0.30,2008.19,208.74,285.81,339.13,46.5363277225069,113.99,1423.94,332.99,1096,2708,53,688
600,138564.9928,12771.7992000002,143564.9928,7771.79920000024,KASESE,1642.4644,89.9976,3,1409.7,0.63,0.95,0.76,0.39,0.40,0.01,0.94,0.31,2080.44,218.53,262.10,399.35,46.5363277225069,98.28,1098.23,236.21,412,2169,427,1627
601,138564.9928,7771.79920000024,143564.9928,2771.79920000024,KASESE,1323.7156,89.9948,3,1233.8,0.38,0.79,0.46,0.43,0.40,0.88,0.36,0.43,1824.87,215.04,262.46,463.52,42.7240609553706,100.30,881.75,221.07,27,1801,1804,1692
602,138564.9928,2771.79920000024,143564.9928,-2228.20079999976,KASESE,1100.4064,89.9862,4,382.2,0.40,0.55,0.59,0.31,0.12,0.28,0.46,0.58,2518.87,285.99,288.17,480.05,42,100.13,747.19,276.94,1593,2575,2451,1063
603,138564.9928,-2228.20079999976,143564.9928,-7228.20079999976,KASESE,970.7844,89.9646,4,845.8,0.04,0.58,0.52,0.88,0.56,0.01,0.17,0.57,3660.32,348.78,249.98,660.48,42,108.16,745.21,422.75,2607,2790,2953,2923
612,138564.9928,-47228.2007999998,143564.9928,-52228.2007999998,RUKUNGIRI,928.6551,89.2392,2,179.1,0.30,0.97,0.02,0.21,0.16,0.15,0.43,0.38,1881.77,242.87,198.09,504.83,38.1381936192556,96.80,730.02,239.72,2473,1370,702,1105
613,138564.9928,-52228.2007999998,143564.9928,-57228.2007999998,RUKUNGIRI,938.9709,89.6730,3,2874.1,0.10,0.42,0.01,0.46,0.62,0.79,0.53,0.19,2720.89,256.13,197.62,594.30,37.7595328066326,111.43,729.46,294.69,433,1869,924,509
614,138564.9928,-57228.2007999998,143564.9928,-62228.2007999998,RUKUNGIRI,995.3224,89.9201,3,2018.2,0.13,0.82,0.10,0.34,0.93,0.77,0.17,0.37,2509.78,248.68,189.23,567.78,37.7510935532256,103.67,730.06,273.94,930,500,333,2499
615,138564.9928,-62228.2007999998,143564.9928,-67228.2007999998,RUKUNGIRI,1013.8138,89.9796,4,2212.2,0.63,0.19,0.99,0.57,0.96,0.25,0.99,0.96,2056.85,217.12,202.74,431.94,37.3297026712777,86.56,786.12,228.71,1937,492,219,397
616,138564.9928,-67228.2007999998,143564.9928,-72228.2007999998,KANUNGU,1004.3697,89.8568,3,620.6,0.62,0.49,0.71,0.93,0.86,0.11,0.89,0.58,2073.42,244.33,213.12,421.95,36.2532806596767,94.68,811.02,234.41,1421,2842,593,2079
617,138564.9928,-72228.2007999998,143564.9928,-77228.2007999998,KANUNGU,1058.6919,89.9249,3,1829.0,0.02,0.26,0.45,0.49,0.16,0.73,0.15,0.90,1593.89,292.94,225.01,389.32,36.2532806596767,81.76,825.28,214.65,2854,418,1532,1048
618,138564.9928,-77228.2007999998,143564.9928,-82228.2007999998,KANUNGU,1156.6351,89.9917,4,1973.8,0.25,0.41,0.70,0.43,0.42,0.22,0.78,0.78,1726.00,291.76,218.09,363.05,31.9364796446194,98.89,861.25,215.73,1245,2540,2966,1997
619,138564.9928,-82228.2007999998,143564.9928,-87228.2007999998,KANUNGU,1290.3364,89.9935,3,2134.6,0.34,0.77,0.57,0.63,0.46,0.29,0.18,0.40,1789.53,252.43,199.59,326.64,24.982503148391,102.71,934.03,200.84,1590,669,1255,986
620,138564.9928,-87228.2007999998,143564.9928,-92228.2007999998,KANUNGU,1382.4444,89.9925,3,1959.4,0.47,0.36,0.56,0.53,0.16,0.93,0.37,0.70,2323.27,246.40,197.36,315.61,24.982503148391,100.78,953.31,216.06,2903,77,893,2404
621,138564.9928,-92228.2007999998,143564.9928,-97228.2007999998,KANUNGU,1480.2099,89.9943,4,734.2,0.05,0.37,0.33,0.90,0.58,0.78,0.10,0.64,1685.34,231.14,200.89,304.93,24.867373549781,99.47,1021.53,229.18,1991,1232,369,937
622,138564.9928,-97228.2007999998,143564.9928,-102228.2008,KANUNGU,1574.7791,89.9636,4,1147.7,0.91,0.19,0.89,0.44,0.35,0.82,0.32,0.45,1668.31,204.79,218.68,291.56,24.7335967016166,80.42,1072.77,230.48,2962,2271,145,2064
623,138564.9928,-102228.2008,143564.9928,-107228.2008,KANUNGU,1681.2266,89.9975,3,74.7,0.73,0.61,0.07,0.44,0.96,0.21,0.84,0.45,2016.50,181.68,262.28,265.55,24.7335967016166,72.19,1261.82,225.41,2464,1063,1267,2683
624,138564.9928,-107228.2008,143564.9928,-112228.2008,KANUNGU,1818.3032,89.9979,4,91.6,0.20,0.57,0.91,0.97,0.19,0.21,0.57,0.61,1639.53,166.91,272.94,270.94,33.34991494917,83.89,1392.14,229.30,1848,1549,2923,483
625,138564.9928,-112228.2008,143564.9928,-117228.2008,KANUNGU,2118.0195,89.9978,3,353.0,0.83,0.50,0.74,0.73,0.16,0.20,0.97,0.18,1447.54,146.09,311.93,220.95,40,83.03,1508.11,184.84,2946,2121,777,2753
626,138564.9928,-117228.2008,143564.9928,-122228.2008,RUBANDA,2285.7771,89.9972,1,754.0,0.56,0.71,0.03,0.09,0.36,0.93,0.11,0.35,1732.68,164.78,335.36,224.73,40,99.28,1580.19,197.71,1819,346,974,1382
627,138564.9928,-122228.2008,143564.9928,-127228.2008,RUBANDA,2139.0614,89.9972,3,425.7,0.85,0.80,0.89,0.14,0.23,0.35,0.01,0.82,1401.19,151.89,326.95,203.02,34.3630147176723,88.23,1430.95,182.93,2325,1326,2104,963
628,138564.9928,-127228.2008,143564.9928,-132228.2008,KISORO,2169.2888,89.9973,4,1429.2,0.41,0.19,0.42,0.86,0.42,0.62,0.23,0.95,1375.32,155.61,322.89,211.87,31.2489064467744,75.32,1299.91,184.84,2405,484,454,810
629,138564.9928,-132228.2008,143564.9928,-137228.2008,KISORO,2205.1703,89.9977,4,466.5,0.01,0.55,0.18,0.51,0.96,0.90,0.82,0.61,1532.18,160.46,300.58,268.11,31.2489064467744,81.73,1251.13,199.65,91,263,9,2218
630,138564.9928,-137228.2008,143564.9928,-142228.2008,KISORO,2148.2243,89.9968,3,2271.8,0.67,0.04,0.76,0.20,0.80,0.80,0.67,0.00,1668.94,153.53,297.06,255.89,25.8296295361066,80.16,1368.65,214.25,983,2585,2498,1529
723,143564.9928,32771.7992000002,148564.9928,27771.7992000002,KASESE,2921.1125,89.9989,2,1194.8,0.62,0.12,0.50,0.39,0.16,0.99,0.96,0.88,2482.64,227.32,252.55,489.61,48,115.39,1632.09,408.94,2627,494,1827,2597
724,143564.9928,27771.7992000002,148564.9928,22771.7992000002,KASESE,2523.6437,89.9986,2,1692.8,0.10,0.17,0.44,0.76,0.50,0.50,0.15,0.43,2307.22,202.07,271.60,496.57,48,101.90,1558.34,408.77,795,2479,235,2356
725,143564.9928,22771.7992000002,148564.9928,17771.7992000002,KASESE,2616.0525,89.9980,2,1356.9,0.81,0.16,0.58,0.58,0.36,0.44,0.84,0.20,1814.27,194.55,287.10,420.16,47.261098091827,104.55,1671.58,393.09,294,491,161,2983
726,143564.9928,17771.7992000002,148564.9928,12771.7992000002,KASESE,2379.4210,89.9979,1,1992.7,0.75,0.05,0.07,0.96,0.78,0.86,0.24,0.62,1921.31,189.25,316.58,300.39,47,117.65,1606.53,325.48,158,328,2148,1772
727,143564.9928,12771.7992000002,148564.9928,7771.79920000024,KASESE,1996.8344,89.9980,3,167.0,0.16,0.89,0.83,0.07,0.12,0.83,0.93,0.60,2219.47,204.18,297.79,301.44,47,125.95,1393.60,244.55,2604,1762,2722,2106
728,143564.9928,7771.79920000024,148564.9928,2771.79920000024,KASESE,1561.9832,89.9979,4,2465.1,0.02,0.79,0.04,0.66,0.35,0.56,0.11,0.72,1911.73,187.62,261.01,407.04,42.7980694954844,97.40,945.46,252.32,322,1170,1493,1814
729,143564.9928,2771.79920000024,148564.9928,-2228.20079999976,KASESE,1115.5641,89.9177,4,507.4,0.44,0.50,0.34,0.69,0.91,0.23,0.36,0.15,2385.82,310.49,298.63,646.82,42,102.86,767.15,312.24,1594,2744,516,1131
730,143564.9928,-2228.20079999976,148564.9928,-7228.20079999976,KASESE,1004.9204,89.8055,3,2782.0,0.65,0.90,0.47,0.75,0.20,0.99,0.75,0.40,4629.96,387.15,288.60,885.75,42,133.43,740.63,549.34,12,1616,1340,1288
731,143564.9928,-7228.20079999976,148564.9928,-12228.2007999998,KASESE,961.7754,89.6111,3,2438.5,0.99,0.56,0.62,0.46,0.65,0.17,0.55,0.20,3256.45,374.19,261.80,733.19,42,153.54,695.65,484.82,1854,2350,2536,2138
